Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle	R_Chin_Angle
418	13.933	103.52	135.96	123.48	125.55
419	13.967	103.5	136.68	124.08	126.93
420	14.0	103.63	136.92	123.78	127.59
421	14.033	103.76	136.6	124.39	128.01
422	14.067	103.77	134.43	124.15	128.92
423	14.1	104.01	133.33	126.16	129.16
424	14.133	104.23	134.49	125.41	130.42
425	14.167	104.01	134.61	125.46	131.05
426	14.2	104.06	137.74	124.77	128.5
427	14.233	104.55	140.72	124.82	128.17
428	14.267	104.28	140.76	123.07	127.42
429	14.3	104.64	142.92	121.34	126.75
430	14.333	105.1	144.52	120.97	126.83
431	14.367	105.32	145.72	121.42	127.06
432	14.4	105.89	145.64	119.53	126.4
433	14.433	105.98	146.34	119.21	126.28
434	14.467	105.95	147.35	120.77	126.16
435	14.5	106.19	151.41	120.82	127.27
436	14.533	106.3	153.14	121.05	127.68
437	14.567	104.94	145.71	113.41	129.47
438	14.6	105.82	143.55	111.15	133.8
439	14.633	106.27	139.47	105.6	135.43
440	14.667	103.56	124.47	106.35	130.85
441	14.7	105.31	116.78	98.75	138.27
442	14.733	104.49	107.28	100.49	138.5
443	14.767	104.9	112.35	105.17	137.87
444	14.8	105.33	125.17	109.63	135.52
445	14.833	105.34	125.87	109.97	134.16
446	14.867	105.53	144.17	113.16	133.08
447	14.9	104.43	145.6	117.09	131.58
448	14.933	101.35	134.22	121.64	128.51
449	14.967	101.3	136.32	123.7	128.99
450	15.0	101.25	136.72	124.62	129.54
451	15.033	100.97	133.8	124.11	129.38
452	15.067	100.07	134.32	124.64	128.9
453	15.1	98.76	133.93	124.06	127.51
454	15.133	97.49	135.26	125.17	127.36
455	15.167	97.53	135.73	125.17	129.63
456	15.2	97.35	134.86	125.84	130.78
457	15.233	97.67	133.87	125.96	130.2
458	15.267	100.65	136.54	123.8	137.9
459	15.3	100.63	134.7	124.3	137.18
460	15.333	101.66	133.49	125.48	137.61
461	15.367	102.61	135.58	127.27	137.55
462	15.4	102.56	134.93	126.78	137.03
463	15.433	103.02	133.92	125.41	135.62
464	15.467	103.3	132.88	124.54	133.85
465	15.5	103.35	132.68	124.7	131.33
466	15.533	103.14	128.67	124.51	131.65
467	15.567	103.34	127.04	123.28	132.0
468	15.6	103.74	127.19	122.59	132.2
469	15.633	103.21	124.77	121.86	132.12
470	15.667	102.93	123.26	121.58	132.27
471	15.7	102.73	121.99	122.2	134.26
472	15.733	103.12	122.23	122.26	135.06
473	15.767	102.73	122.67	122.44	135.76
474	15.8	103.01	123.92	122.17	135.42
475	15.833	102.75	121.73	121.8	135.1
476	15.867	102.76	122.35	121.61	135.86
477	15.9	102.56	119.97	121.55	135.72
478	15.933	102.62	122.57	122.46	135.37
479	15.967	101.92	118.68	119.4	132.99
480	16.0	103.02	119.91	119.47	133.35
481	16.033	104.4	118.12	118.53	133.73
482	16.067	105.14	116.51	117.59	134.79
483	16.1	105.36	117.55	117.0	135.97
484	16.133	105.27	116.78	116.27	134.72
485	16.167	105.64	116.52	115.61	136.38
486	16.2	105.14	119.44	116.52	139.64
487	16.233	104.8	118.17	117.4	141.14
488	16.267	101.16	116.79	119.61	142.33
489	16.3	99.97	113.97	124.39	143.77
490	16.333	94.28	116.89	126.7	141.59
491	16.367	86.17	110.07	127.47	139.23
492	16.4	80.3	110.8	127.61	136.69
493	16.433	78.52	112.98	126.89	135.75
494	16.467	73.98	110.31	124.44	133.48
495	16.5	73.41	113.19	124.68	134.16
496	16.533	72.88	114.41	123.2	133.62
497	16.567	72.81	116.01	122.74	133.36
498	16.6	70.64	117.29	122.02	132.81
499	16.633	70.12	116.89	121.66	132.88
500	16.667	69.99	119.19	120.62	132.8
501	16.7	68.85	119.79	121.7	132.27
502	16.733	67.19	120.1	121.81	130.98
503	16.767	68.97	118.08	121.96	130.65
504	16.8	69.41	115.08	119.76	130.1
505	16.833	71.62	116.86	119.63	131.0
506	16.867	73.72	123.08	120.96	134.76
507	16.9	77.09	122.95	121.88	136.24
508	16.933	78.72	122.85	122.32	137.53
509	16.967	78.81	123.91	122.54	137.98
510	17.0	80.18	124.22	122.18	138.01
511	17.033	79.52	123.59	122.15	138.55
512	17.067	78.57	124.44	123.0	139.57
513	17.1	78.03	123.33	122.87	140.28
514	17.133	78.0	123.25	122.37	140.38
515	17.167	78.1	123.5	122.53	140.49
516	17.2	79.5	124.27	122.76	140.66
517	17.233	81.47	126.71	123.77	140.86
518	17.267	84.05	128.43	125.5	141.5
519	17.3	78.49	110.54	117.66	131.32
520	17.333	86.46	130.56	124.21	139.19
521	17.367	87.36	132.88	123.72	138.36
522	17.4	88.4	131.95	121.49	137.04
523	17.433	88.96	130.86	118.3	138.09
524	17.467	88.92	133.89	116.66	138.39
525	17.5	88.52	132.93	116.5	138.41
526	17.533	87.83	133.2	118.78	138.69
527	17.567	79.48	112.5	107.35	132.13
528	17.6	86.4	133.1	119.07	139.55
529	17.633	85.62	135.14	118.38	138.54
530	17.667	84.79	136.52	118.67	138.26
531	17.7	83.97	137.07	119.49	137.64
532	17.733	83.75	136.46	119.7	137.85
533	17.767	83.54	136.05	120.19	137.93
534	17.8	82.92	135.82	119.91	137.72
535	17.833	82.96	135.98	121.85	138.56
536	17.867	73.79	111.65	109.42	132.8
537	17.9	73.28	112.66	109.81	132.28
538	17.933	74.18	113.83	107.44	131.4
539	17.967	74.58	115.03	109.76	130.73
540	18.0	73.67	112.05	110.52	130.35
541	18.033	73.57	112.67	110.85	129.34
542	18.067	74.61	114.26	111.92	129.98
543	18.1	74.24	116.13	113.37	127.36
544	18.133	80.62	135.75	121.01	134.15
545	18.167	74.39	115.76	115.02	124.61
546	18.2	80.57	131.89	121.11	132.49
547	18.233	77.99	112.91	117.21	124.52
548	18.267	84.55	129.29	121.8	132.7
549	18.3	86.24	126.94	121.06	132.79
550	18.333	86.36	125.91	119.43	133.48
551	18.367	86.33	123.81	120.09	135.42
552	18.4	85.94	123.76	119.97	135.25
553	18.433	84.82	125.35	119.99	136.49
554	18.467	83.79	124.44	119.48	138.25
555	18.5	77.86	114.21	116.43	128.55
556	18.533	77.48	111.77	115.88	127.95
557	18.567	77.27	110.71	115.54	129.23
558	18.6	76.08	110.29	115.34	130.01
559	18.633	75.21	110.13	113.76	131.31
560	18.667	73.71	108.11	111.91	132.21
561	18.7	71.91	105.73	109.42	132.76
562	18.733	74.34	121.15	121.8	138.48
563	18.767	73.62	117.45	121.06	138.11
564	18.8	72.99	116.9	120.75	137.18
565	18.833	74.23	118.89	120.9	137.3
566	18.867	75.84	121.96	120.48	138.48
567	18.9	74.9	105.68	107.73	134.31
568	18.933	76.67	110.45	105.24	133.83
569	18.967	77.47	112.94	106.84	132.78
570	19.0	78.9	117.36	107.59	133.34
571	19.033	79.52	116.83	108.7	133.26
572	19.067	79.43	115.39	109.37	133.28
573	19.1	79.34	114.79	110.59	133.92
574	19.133	79.17	116.31	106.29	134.78
575	19.167	78.13	112.58	107.27	135.9
576	19.2	77.5	105.76	109.58	137.93
577	19.233	76.18	102.0	110.47	137.83
578	19.267	75.35	100.84	108.78	139.04
579	19.3	74.74	99.7	109.4	139.51
580	19.333	73.18	95.76	105.93	138.71
581	19.367	72.47	91.71	105.42	138.96
582	19.4	71.95	88.91	107.84	139.73
583	19.433	72.33	87.4	108.79	140.29
584	19.467	76.65	111.06	122.36	141.42
585	19.5	71.99	85.68	111.85	140.49
586	19.533	75.54	105.43	123.82	141.62
587	19.567	74.03	106.23	123.41	140.83
588	19.6	73.88	106.77	123.8	140.34
589	19.633	74.91	111.28	122.62	142.53
590	19.667	75.5	121.19	123.77	141.92
591	19.7	75.03	126.83	125.87	141.65
592	19.733	76.37	126.53	125.46	140.54
593	19.767	77.14	128.36	125.38	139.16
594	19.8	77.51	128.18	125.75	138.94
595	19.833	76.18	123.62	125.23	136.9
596	19.867	76.64	124.88	127.36	136.4
597	19.9	78.24	129.84	128.61	137.85
598	19.933	79.69	132.6	128.67	137.12
