Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle	R_Chin_Angle
353	12.172	177.32	82.96	151.29	106.42
354	12.207	177.05	83.39	146.56	107.53
355	12.241	175.9	81.66	145.88	107.39
356	12.276	175.39	80.66	146.25	107.53
357	12.31	176.17	80.34	148.26	108.42
358	12.345	176.35	78.02	148.06	108.26
359	12.379	176.88	77.89	147.85	109.2
360	12.414	177.45	76.85	147.85	108.52
361	12.448	177.15	78.04	146.77	109.04
362	12.483	177.92	79.05	147.82	109.12
363	12.517	177.55	79.93	149.15	108.46
364	12.552	176.85	80.72	149.3	108.66
365	12.586	176.9	78.9	149.29	108.09
366	12.621	176.76	78.38	149.03	107.91
367	12.655	177.5	79.66	150.13	108.11
368	12.69	178.32	77.63	137.79	115.85
369	12.724	177.14	80.14	149.86	108.5
370	12.759	177.17	80.76	150.81	107.92
371	12.793	176.17	80.45	148.48	108.37
372	12.828	176.41	79.73	147.11	107.72
373	12.862	175.35	79.8	145.46	108.24
374	12.897	175.41	78.9	142.91	107.82
375	12.931	176.11	76.98	141.62	108.86
376	12.966	175.89	76.35	139.32	108.84
377	13.0	175.63	76.0	138.59	109.97
378	13.034	175.88	76.18	139.08	109.62
379	13.069	175.85	76.16	138.91	109.66
380	13.103	175.95	74.8	140.06	109.2
381	13.138	175.22	73.45	141.15	109.06
382	13.172	175.42	73.77	140.56	109.25
383	13.207	175.79	73.56	140.14	108.57
384	13.241	176.19	74.42	140.36	107.96
385	13.276	175.32	75.35	140.18	107.27
386	13.31	175.02	75.44	139.04	106.93
387	13.345	179.64	72.27	138.87	110.61
388	13.379	179.95	73.1	139.12	110.44
389	13.414	179.11	72.67	138.75	110.18
390	13.448	179.57	71.52	139.73	109.59
391	13.483	178.91	70.39	138.89	109.98
392	13.517	172.81	73.21	141.16	105.72
393	13.552	173.0	72.12	143.36	105.29
394	13.586	178.72	70.52	137.64	121.53
395	13.621	177.34	69.15	139.13	124.69
396	13.655	174.53	67.6	146.8	105.86
397	13.69	174.87	65.64	145.02	106.15
398	13.724	174.67	65.49	144.06	107.06
399	13.759	174.81	63.34	144.42	107.86
400	13.793	175.53	62.42	145.56	108.84
401	13.828	175.5	62.48	145.84	109.15
402	13.862	176.7	60.93	147.9	109.41
403	13.897	175.35	58.93	147.39	107.81
404	13.931	178.0	64.55	145.32	112.0
405	13.966	179.74	67.66	146.04	111.73
406	14.0	179.86	65.78	146.36	110.82
407	14.034	177.56	71.19	143.48	108.94
408	14.069	176.81	69.74	143.09	106.44
409	14.103	176.97	67.14	133.69	121.8
410	14.138	177.24	63.75	133.04	120.93
411	14.172	178.52	62.32	131.46	118.52
412	14.207	179.38	59.62	130.59	117.7
413	14.241	174.09	61.89	140.84	101.71
414	14.276	174.71	61.54	142.14	101.17
415	14.31	175.29	62.16	142.26	102.8
416	14.345	175.29	61.67	142.74	102.54
417	14.379	174.9	61.56	143.31	102.13
418	14.414	177.48	61.57	132.45	122.45
419	14.448	175.36	61.26	142.42	102.68
420	14.483	177.56	62.44	132.57	122.44
421	14.517	175.57	62.24	143.59	103.41
422	14.552	175.75	62.24	143.69	104.28
423	14.586	176.52	62.04	144.74	104.78
424	14.621	176.28	62.42	144.39	104.77
425	14.655	176.5	62.79	144.91	104.92
426	14.69	176.19	62.49	143.83	105.04
427	14.724	176.35	61.91	144.33	104.54
428	14.759	176.75	62.33	145.99	104.59
429	14.793	177.25	62.45	146.01	104.87
430	14.828	176.62	62.8	146.18	104.61
431	14.862	175.73	64.64	145.22	103.56
432	14.897	176.32	63.63	144.97	104.67
433	14.931	176.97	64.12	145.33	105.39
