Frame	Time	Nose_X	Nose_Y	L_Eye_X	L_Eye_Y	R_Eye_X	R_Eye_Y	L_Ear_X	L_Ear_Y	R_Ear_X	R_Ear_Y	L_Shoulder_X	L_Shoulder_Y	R_Shoulder_X	R_Shoulder_Y	L_Elbow_X	L_Elbow_Y	R_Elbow_X	R_Elbow_Y	L_Wrist_X	L_Wrist_Y	R_Wrist_X	R_Wrist_Y	L_Hip_X	L_Hip_Y	R_Hip_X	R_Hip_Y	L_Knee_X	L_Knee_Y	R_Knee_X	R_Knee_Y	L_Ankle_X	L_Ankle_Y	R_Ankle_X	R_Ankle_Y
63	2.1	70.5	50.85	0.0	0.0	69.96	47.46	0.0	0.0	63.15	46.15	54.04	50.63	59.74	60.94	0.0	0.0	64.51	77.73	73.29	62.64	73.37	69.0	30.26	61.17	34.92	72.96	25.81	61.48	26.39	77.58	15.31	58.03	15.44	63.82
64	2.133	70.58	50.81	0.0	0.0	70.03	47.42	0.0	0.0	63.22	46.12	54.06	50.49	59.76	60.81	0.0	0.0	64.66	77.69	73.16	62.67	73.54	68.99	30.18	60.89	34.81	72.7	25.73	61.3	26.27	77.42	15.43	57.79	15.5	63.59
65	2.167	70.43	50.76	0.0	0.0	69.9	47.28	0.0	0.0	63.09	45.78	54.05	50.36	59.72	60.7	0.0	0.0	64.8	77.87	73.3	62.77	73.74	68.53	30.16	61.12	34.77	72.97	25.93	61.5	26.43	77.7	15.19	57.95	15.33	63.64
66	2.2	70.36	50.29	0.0	0.0	69.83	46.86	0.0	0.0	63.01	45.51	54.11	49.85	59.54	60.51	0.0	0.0	64.61	77.63	73.36	62.53	73.26	68.68	30.27	60.57	34.72	72.57	25.82	61.07	26.2	77.43	15.16	57.76	15.24	63.35
67	2.233	70.33	50.08	0.0	0.0	69.82	46.66	0.0	0.0	62.97	45.46	53.83	49.96	59.45	60.33	0.0	0.0	64.95	77.37	72.99	62.55	73.68	68.53	29.56	60.45	34.12	72.32	25.05	61.36	25.4	77.55	14.4	58.08	14.38	63.66
68	2.267	70.23	50.55	0.0	0.0	69.74	47.02	0.0	0.0	62.54	45.5	54.02	50.07	58.68	61.37	0.0	0.0	65.45	77.44	73.78	62.06	74.34	68.05	29.08	59.6	32.82	72.27	22.45	61.23	22.11	78.49	13.24	57.44	12.95	62.52
69	2.3	70.17	49.75	0.0	0.0	69.68	46.29	0.0	0.0	62.78	45.0	53.52	49.87	59.18	59.98	0.0	0.0	64.88	76.97	72.88	62.31	73.54	68.33	29.38	60.13	33.97	71.85	24.73	61.26	24.99	77.25	14.26	57.84	14.24	63.38
70	2.333	70.14	50.11	0.0	0.0	69.65	46.61	0.0	0.0	62.42	45.2	53.97	50.0	58.34	60.94	0.0	0.0	65.09	77.0	73.73	61.95	74.35	67.97	29.25	59.54	32.8	72.0	22.43	61.52	21.86	78.5	13.2	57.73	12.73	62.77
71	2.367	70.29	49.86	0.0	0.0	69.74	46.42	0.0	0.0	62.43	45.18	54.0	49.82	58.46	60.93	0.0	0.0	65.27	76.59	73.79	61.68	74.53	67.69	29.33	59.43	32.97	71.94	22.65	61.36	22.25	78.43	13.33	57.63	13.1	62.89
72	2.4	70.35	50.04	0.0	0.0	69.85	46.59	0.0	0.0	62.55	45.31	54.07	50.03	58.51	61.16	0.0	0.0	65.62	76.73	73.58	61.41	74.42	67.16	29.21	59.45	32.81	72.02	22.18	61.1	21.55	78.28	12.83	57.55	12.67	62.65
73	2.433	70.44	50.44	0.0	0.0	70.03	46.97	0.0	0.0	62.94	45.52	54.3	49.98	58.76	61.15	0.0	0.0	66.05	77.15	73.65	61.48	75.05	67.77	28.42	59.2	31.94	71.96	20.9	60.7	20.01	78.12	12.19	57.26	11.61	62.33
74	2.467	70.36	50.57	0.0	0.0	69.96	47.1	0.0	0.0	62.86	45.77	54.13	50.36	58.57	61.45	0.0	0.0	65.98	77.27	73.96	61.4	74.94	68.16	27.77	59.02	31.25	71.77	20.21	60.64	19.25	77.96	12.13	57.34	11.31	62.3
75	2.5	70.29	50.68	0.0	0.0	69.93	47.15	0.0	0.0	62.83	45.76	54.14	50.66	58.72	61.88	0.0	0.0	66.68	77.21	74.07	61.4	75.64	67.1	28.34	59.76	31.89	72.55	21.12	61.07	20.19	78.48	12.34	58.11	11.98	62.8
76	2.533	70.33	50.65	0.0	0.0	69.99	47.11	0.0	0.0	62.9	45.71	54.13	50.48	58.71	61.71	0.0	0.0	66.65	77.09	74.1	61.28	75.82	67.31	28.28	59.32	31.81	72.13	21.27	60.6	20.4	78.0	12.85	57.43	12.53	62.24
77	2.567	70.38	50.71	0.0	0.0	70.04	47.15	0.0	0.0	62.99	45.58	54.2	50.37	58.84	61.54	0.0	0.0	66.56	76.76	73.95	60.94	75.59	66.97	28.5	59.19	32.08	71.97	21.51	60.66	20.74	78.08	12.81	57.46	12.8	62.47
78	2.6	70.44	50.77	0.0	0.0	70.14	47.28	0.0	0.0	63.1	45.71	53.93	50.32	58.83	61.22	0.0	0.0	66.66	76.44	73.54	60.7	75.35	66.48	27.89	58.9	31.64	71.52	20.63	60.21	19.83	77.39	12.45	57.16	12.13	61.93
79	2.633	70.5	50.52	0.0	0.0	70.2	47.06	0.0	0.0	62.97	45.74	53.96	50.31	58.72	61.49	0.0	0.0	67.4	76.12	74.34	60.06	75.97	65.38	27.73	58.95	31.3	71.72	20.41	60.21	19.59	77.5	12.46	57.56	12.28	61.82
80	2.667	70.51	50.65	0.0	0.0	70.19	47.26	0.0	0.0	63.04	45.92	54.26	50.38	58.79	61.32	0.0	0.0	67.76	75.64	74.24	60.07	76.25	65.0	28.21	58.95	31.64	71.53	20.88	59.95	19.88	77.06	12.84	57.38	12.73	61.62
81	2.7	70.63	50.75	0.0	0.0	70.32	47.41	0.0	0.0	63.23	46.06	54.55	50.55	58.87	61.14	0.0	0.0	67.65	74.97	74.78	59.61	76.02	64.04	28.39	59.47	31.7	71.86	20.67	60.35	19.54	77.29	12.42	57.95	12.26	62.09
82	2.733	70.61	50.41	0.0	0.0	70.39	47.19	0.0	0.0	63.54	45.97	54.65	50.55	59.17	60.9	0.0	0.0	68.06	73.77	74.66	59.17	76.21	62.23	29.0	59.68	32.46	71.89	21.11	60.17	19.78	77.03	12.24	58.2	12.0	62.23
83	2.767	70.65	50.17	0.0	0.0	70.41	46.93	0.0	0.0	63.48	45.73	54.79	50.71	59.23	60.64	0.0	0.0	68.3	72.79	74.83	58.21	76.19	60.66	29.03	59.64	32.38	71.63	20.92	60.57	19.65	77.14	12.25	58.64	11.96	62.28
84	2.8	70.45	49.79	0.0	0.0	70.28	46.63	0.0	0.0	63.52	45.68	54.8	50.98	59.26	60.78	0.0	0.0	69.0	71.8	74.33	57.61	76.79	59.08	29.4	59.83	32.71	71.69	21.49	60.5	20.0	76.99	12.28	58.9	12.24	62.38
85	2.833	70.56	49.6	0.0	0.0	70.31	46.39	0.0	0.0	63.27	45.52	54.55	50.95	59.07	60.93	0.0	0.0	69.06	71.66	74.07	57.29	76.47	58.14	28.51	59.48	31.86	71.48	20.8	60.28	19.55	76.99	11.69	58.14	11.72	61.72
86	2.867	70.37	49.17	0.0	0.0	70.12	45.92	0.0	0.0	63.03	45.02	54.22	50.79	58.87	60.58	0.0	0.0	68.8	71.15	73.74	56.99	76.16	57.62	28.29	58.9	31.75	70.8	20.67	59.8	19.36	76.39	11.7	57.38	11.67	61.11
87	2.9	70.4	47.34	0.0	0.0	70.0	44.33	0.0	0.0	63.17	44.71	54.02	50.31	59.76	60.07	0.0	0.0	68.24	71.23	76.06	56.87	74.23	58.68	30.29	61.19	34.61	73.25	26.52	60.38	25.63	77.15	15.5	59.02	15.75	62.82
88	2.933	70.33	46.91	0.0	0.0	69.84	43.95	0.0	0.0	62.86	44.46	54.1	50.18	59.71	59.9	0.0	0.0	68.42	71.04	75.64	56.85	74.48	58.06	30.55	61.22	34.74	73.24	25.97	60.66	25.06	77.37	15.24	59.0	15.26	62.63
89	2.967	70.21	46.57	0.0	0.0	69.68	43.62	0.0	0.0	62.72	44.26	54.11	50.34	59.73	59.83	0.0	0.0	68.52	70.72	75.77	56.75	74.57	57.84	30.63	61.27	34.85	73.16	26.01	60.84	25.15	77.36	15.36	59.26	15.34	62.84
